,state,killed,injured,month,year
232,Indiana,1,3,December,2020
233,Oregon,0,4,December,2020
234,Illinois,3,3,December,2020
235,Florida,2,2,December,2020
236,Massachusetts,1,5,December,2020
237,Florida,1,3,December,2020
238,Florida,1,4,December,2020
239,Arkansas,5,0,December,2020
240,Florida,1,4,December,2020
241,Mississippi,5,0,December,2020
242,Connecticut,2,2,December,2020
243,Illinois,0,6,December,2020
244,West Virginia,4,0,December,2020
245,California,1,3,December,2020
246,New York,2,2,December,2020
247,New York,0,4,December,2020
248,Maryland,2,2,December,2020
249,Georgia,0,4,December,2020
250,Mississippi,0,5,December,2020
251,West Virginia,6,0,December,2020
252,Louisiana,2,3,December,2020
253,Texas,0,6,December,2020
254,California,1,3,December,2020
255,North Carolina,0,6,December,2020
256,Illinois,0,4,December,2020
257,Pennsylvania,1,3,December,2020
258,Alaska,4,0,November,2020
259,Mississippi,0,11,November,2020
260,Tennessee,2,3,November,2020
261,South Carolina,1,10,November,2020
262,South Carolina,0,5,November,2020
263,Louisiana,0,4,November,2020
264,Georgia,1,5,November,2020
265,Ohio,0,6,November,2020
266,Nevada,1,5,November,2020
267,New Jersey,0,4,November,2020
268,New York,1,6,November,2020
269,Illinois,1,3,November,2020
270,Louisiana,1,3,November,2020
271,Illinois,0,6,November,2020
272,Arizona,1,4,November,2020
273,Nebraska,2,2,November,2020
274,Wisconsin,0,8,November,2020
275,Florida,1,3,November,2020
276,Texas,3,2,November,2020
277,South Carolina,0,4,November,2020
278,Tennessee,0,4,November,2020
279,Florida,0,4,November,2020
280,Illinois,0,4,November,2020
281,Illinois,0,4,November,2020
282,Louisiana,0,5,November,2020
283,Georgia,2,2,November,2020
284,South Carolina,3,1,November,2020
285,Missouri,0,4,November,2020
286,Ohio,0,4,November,2020
287,California,2,3,November,2020
288,Florida,2,4,November,2020
289,North Carolina,0,6,November,2020
290,Florida,1,7,November,2020
291,Texas,0,4,November,2020
292,Virginia,0,4,November,2020
293,Tennessee,0,8,November,2020
294,Kansas,0,4,November,2020
295,South Carolina,1,3,November,2020
296,Louisiana,2,2,November,2020
297,Ohio,3,2,November,2020
298,Missouri,0,4,November,2020
299,Nevada,4,1,November,2020
300,Ohio,0,5,November,2020
301,South Carolina,0,6,November,2020
302,Indiana,0,4,November,2020
303,Oklahoma,1,3,November,2020
304,North Carolina,1,3,November,2020
305,Arizona,2,2,November,2020
306,New Jersey,1,4,November,2020
307,California,0,4,October,2020
308,Washington,0,5,October,2020
309,California,0,4,October,2020
310,Nevada,0,4,October,2020
311,Maryland,0,7,October,2020
312,Maryland,1,3,October,2020
313,Illinois,1,3,October,2020
314,Florida,0,4,October,2020
315,Virginia,0,4,October,2020
316,New Jersey,1,3,October,2020
317,Texas,2,3,October,2020
318,Texas,1,3,October,2020
319,North Carolina,1,3,October,2020
320,Mississippi,2,8,October,2020
321,Florida,1,3,October,2020
322,Louisiana,0,5,October,2020
323,Massachusetts,0,4,October,2020
324,Maryland,0,4,October,2020
325,New York,1,5,October,2020
326,Mississippi,2,2,October,2020
327,Texas,3,1,October,2020
328,Ohio,0,5,October,2020
329,Louisiana,1,3,October,2020
330,Maryland,1,3,October,2020
331,Illinois,1,4,October,2020
332,Tennessee,0,4,October,2020
333,New York,1,5,October,2020
334,South Carolina,0,5,October,2020
335,California,2,4,October,2020
336,Florida,3,1,October,2020
337,Arizona,1,6,October,2020
338,California,1,3,October,2020
339,Louisiana,2,2,October,2020
340,Maryland,0,7,October,2020
341,Pennsylvania,0,4,October,2020
342,South Carolina,2,3,October,2020
343,Georgia,0,4,October,2020
344,Illinois,1,3,October,2020
345,South Carolina,0,8,October,2020
346,Missouri,2,2,October,2020
347,Pennsylvania,1,6,October,2020
348,Alaska,1,4,October,2020
349,New York,1,3,October,2020
350,District of Columbia,1,3,October,2020
351,Indiana,3,4,October,2020
352,Georgia,1,5,October,2020
353,Tennessee,0,5,October,2020
354,California,1,3,October,2020
355,California,0,4,October,2020
356,Washington,0,4,October,2020
357,Michigan,0,5,October,2020
358,North Carolina,0,4,September,2020
359,Florida,0,4,September,2020
360,Wisconsin,0,7,September,2020
361,Pennsylvania,0,5,September,2020
362,Ohio,2,2,September,2020
363,Michigan,0,6,September,2020
364,Ohio,1,3,September,2020
365,California,1,3,September,2020
366,Tennessee,0,4,September,2020
367,Pennsylvania,0,4,September,2020
368,Alabama,1,3,September,2020
369,Iowa,2,6,September,2020
