,Year,Month,State,City/County,Killed,Injured,Total
232,2020,December,Indiana,Indianapolis,1,3,4
233,2020,December,Oregon,Happy Valley,0,4,4
234,2020,December,Illinois,Rockford,3,3,6
235,2020,December,Florida,Tampa,2,2,4
236,2020,December,Massachusetts,Lynn,1,5,6
237,2020,December,Florida,Miami,1,3,4
238,2020,December,Florida,Boynton Beach,1,4,5
239,2020,December,Arkansas,Atkins,5,0,5
240,2020,December,Florida,Lakeland,1,4,5
241,2020,December,Mississippi,Meridian,5,0,5
242,2020,December,Connecticut,Bridgeport,2,2,4
243,2020,December,Illinois,Chicago,0,6,6
244,2020,December,West Virginia,Elkview,4,0,4
245,2020,December,California,San Bernardino,1,3,4
246,2020,December,New York,Copiague,2,2,4
247,2020,December,New York,Brooklyn,0,4,4
248,2020,December,Maryland,Hyattsville (Landover),2,2,4
249,2020,December,Georgia,Tifton,0,4,4
250,2020,December,Mississippi,Jackson,0,5,5
251,2020,December,West Virginia,Williamsburg,6,0,6
252,2020,December,Louisiana,Lacombe,2,3,5
253,2020,December,Texas,Venus,0,6,6
254,2020,December,California,Hayward,1,3,4
255,2020,December,North Carolina,Autryville,0,6,6
256,2020,December,Illinois,Chicago,0,4,4
257,2020,December,Pennsylvania,Morrisville,1,3,4
258,2020,November,Alaska,Palmer,4,0,4
259,2020,November,Mississippi,Grenada,0,11,11
260,2020,November,Tennessee,Memphis,2,3,5
261,2020,November,South Carolina,Aiken,1,10,11
262,2020,November,South Carolina,Conway,0,5,5
263,2020,November,Louisiana,New Orleans,0,4,4
264,2020,November,Georgia,Macon,1,5,6
265,2020,November,Ohio,Toledo,0,6,6
266,2020,November,Nevada,Henderson,1,5,6
267,2020,November,New Jersey,Trenton,0,4,4
268,2020,November,New York,Brooklyn,1,6,7
269,2020,November,Illinois,Chicago,1,3,4
270,2020,November,Louisiana,New Orleans,1,3,4
271,2020,November,Illinois,Chicago,0,6,6
272,2020,November,Arizona,Phoenix,1,4,5
273,2020,November,Nebraska,Bellevue,2,2,4
274,2020,November,Wisconsin,Milwaukee (Wauwatosa),0,8,8
275,2020,November,Florida,Haines City,1,3,4
276,2020,November,Texas,Houston,3,2,5
277,2020,November,South Carolina,Florence,0,4,4
278,2020,November,Tennessee,Jackson,0,4,4
279,2020,November,Florida,Miami,0,4,4
280,2020,November,Illinois,Chicago,0,4,4
281,2020,November,Illinois,Chicago,0,4,4
282,2020,November,Louisiana,Shreveport,0,5,5
283,2020,November,Georgia,Jonesboro,2,2,4
284,2020,November,South Carolina,Sumter,3,1,4
285,2020,November,Missouri,Fulton,0,4,4
286,2020,November,Ohio,Cincinnati,0,4,4
287,2020,November,California,Riverside,2,3,5
288,2020,November,Florida,Tampa,2,4,6
289,2020,November,North Carolina,Gastonia,0,6,6
290,2020,November,Florida,Tampa,1,7,8
291,2020,November,Texas,Fort Worth,0,4,4
292,2020,November,Virginia,Virginia Beach,0,4,4
293,2020,November,Tennessee,Nashville,0,8,8
294,2020,November,Kansas,Ogden,0,4,4
295,2020,November,South Carolina,Rock Hill,1,3,4
296,2020,November,Louisiana,New Orleans,2,2,4
297,2020,November,Ohio,Toledo,3,2,5
298,2020,November,Missouri,Jefferson City,0,4,4
299,2020,November,Nevada,Henderson,4,1,5
300,2020,November,Ohio,Mansfield,0,5,5
301,2020,November,South Carolina,Hollywood,0,6,6
302,2020,November,Indiana,Evansville,0,4,4
303,2020,November,Oklahoma,Oklahoma City,1,3,4
304,2020,November,North Carolina,Winston Salem (Winston-salem),1,3,4
305,2020,November,Arizona,Tucson,2,2,4
306,2020,November,New Jersey,Atlantic City,1,4,5
307,2020,October,California,Sacramento,0,4,4
308,2020,October,Washington,Sumner,0,5,5
309,2020,October,California,Anaheim,0,4,4
310,2020,October,Nevada,North Las Vegas,0,4,4
311,2020,October,Maryland,College Park,0,7,7
312,2020,October,Maryland,Waldorf,1,3,4
313,2020,October,Illinois,Chicago,1,3,4
314,2020,October,Florida,Winter Garden,0,4,4
315,2020,October,Virginia,Roanoke,0,4,4
316,2020,October,New Jersey,Newark,1,3,4
317,2020,October,Texas,Fort Worth,2,3,5
318,2020,October,Texas,San Antonio,1,3,4
319,2020,October,North Carolina,Raleigh,1,3,4
320,2020,October,Mississippi,Greenwood,2,8,10
321,2020,October,Florida,Miami,1,3,4
322,2020,October,Louisiana,Rayne,0,5,5
323,2020,October,Massachusetts,Boston,0,4,4
324,2020,October,Maryland,Baltimore,0,4,4
325,2020,October,New York,Brooklyn,1,5,6
326,2020,October,Mississippi,Canton,2,2,4
327,2020,October,Texas,Houston,3,1,4
328,2020,October,Ohio,Mansfield,0,5,5
329,2020,October,Louisiana,New Orleans,1,3,4
330,2020,October,Maryland,Annapolis,1,3,4
331,2020,October,Illinois,Chicago,1,4,5
332,2020,October,Tennessee,Nashville,0,4,4
333,2020,October,New York,Lockport,1,5,6
334,2020,October,South Carolina,Rock Hill,0,5,5
335,2020,October,California,San Jose,2,4,6
336,2020,October,Florida,Orlando,3,1,4
337,2020,October,Arizona,Mesa,1,6,7
338,2020,October,California,San Francisco,1,3,4
339,2020,October,Louisiana,Lafayette,2,2,4
340,2020,October,Maryland,Baltimore,0,7,7
341,2020,October,Pennsylvania,Philadelphia,0,4,4
342,2020,October,South Carolina,Myrtle Beach,2,3,5
343,2020,October,Georgia,Atlanta,0,4,4
344,2020,October,Illinois,Chicago,1,3,4
345,2020,October,South Carolina,Kingstree,0,8,8
346,2020,October,Missouri,Saint Louis (Jennings),2,2,4
347,2020,October,Pennsylvania,Philadelphia,1,6,7
348,2020,October,Alaska,Anchorage,1,4,5
349,2020,October,New York,Brooklyn,1,3,4
350,2020,October,District of Columbia,Washington,1,3,4
351,2020,October,Indiana,Indianapolis,3,4,7
352,2020,October,Georgia,Atlanta,1,5,6
353,2020,October,Tennessee,Clarksville,0,5,5
354,2020,October,California,Sacramento,1,3,4
355,2020,October,California,Los Angeles,0,4,4
356,2020,October,Washington,Seattle,0,4,4
357,2020,October,Michigan,Detroit,0,5,5
358,2020,September,North Carolina,Greensboro,0,4,4
359,2020,September,Florida,Jacksonville,0,4,4
360,2020,September,Wisconsin,Milwaukee,0,7,7
361,2020,September,Pennsylvania,Philadelphia,0,5,5
362,2020,September,Ohio,Painesville,2,2,4
363,2020,September,Michigan,Detroit,0,6,6
364,2020,September,Ohio,Sandusky,1,3,4
365,2020,September,California,San Bernardino,1,3,4
366,2020,September,Tennessee,Nashville,0,4,4
367,2020,September,Pennsylvania,Philadelphia,0,4,4
368,2020,September,Alabama,Enterprise,1,3,4
369,2020,September,Iowa,Waterloo,2,6,8
370,2020,September,Illinois,Chicago,0,4,4
371,2020,September,Missouri,Saint Louis,0,5,5
372,2020,September,Pennsylvania,Philadelphia,0,4,4
373,2020,September,Georgia,Hampton,1,3,4
374,2020,September,Minnesota,Minneapolis,0,5,5
375,2020,September,Ohio,Struthers,1,4,5
376,2020,September,New York,Corona (Queens),0,4,4
377,2020,September,Connecticut,Stamford,1,3,4
378,2020,September,New York,Buffalo,1,4,5
379,2020,September,Illinois,Chicago,0,4,4
380,2020,September,Illinois,Chicago,0,4,4
381,2020,September,New Jersey,Plainfield,0,4,4
382,2020,September,New York,Rochester,2,14,16
383,2020,September,New Jersey,Paterson,0,5,5
384,2020,September,Arkansas,West Memphis,0,5,5
385,2020,September,Arkansas,Little Rock,0,4,4
386,2020,September,Pennsylvania,Philadelphia,2,3,5
387,2020,September,California,San Jose,2,4,6
388,2020,September,Illinois,Chicago,0,5,5
389,2020,September,Louisiana,Baker,0,4,4
390,2020,September,Tennessee,Manchester,3,3,6
391,2020,September,Michigan,Grand Rapids,0,7,7
392,2020,September,Florida,Tampa,0,4,4
393,2020,September,Illinois,Chicago,1,3,4
394,2020,September,New Jersey,New Brunswick,2,7,9
395,2020,September,Illinois,Chicago,2,4,6
396,2020,September,North Carolina,Wilson,0,5,5
397,2020,September,Pennsylvania,Philadelphia,0,4,4
398,2020,September,Louisiana,Donaldsonville,0,5,5
399,2020,September,Louisiana,New Orleans,3,2,5
400,2020,September,Maryland,Baltimore,0,5,5
401,2020,September,Louisiana,New Orleans,0,4,4
402,2020,September,New York,Brooklyn,0,5,5
403,2020,September,California,Aguanga,7,0,7
404,2020,September,Indiana,Indianapolis,1,4,5
405,2020,September,Georgia,Sparta,1,6,7
406,2020,September,Illinois,Chicago,0,4,4
407,2020,September,Tennessee,Memphis,0,4,4
408,2020,September,Colorado,Commerce City,0,4,4
409,2020,September,Missouri,Kansas City,0,6,6
410,2020,September,Missouri,Saint Louis,1,3,4
411,2020,September,Louisiana,New Iberia,0,5,5
412,2020,September,Maryland,Baltimore,0,4,4
413,2020,September,Texas,Houston,0,4,4
414,2020,September,Maryland,Baltimore,1,3,4
415,2020,September,Florida,Williston,0,6,6
416,2020,September,Arkansas,Little Rock,0,4,4
417,2020,September,South Carolina,Anderson,1,3,4
418,2020,September,Florida,Miami,1,3,4
419,2020,September,Arkansas,Hensley,1,3,4
420,2020,September,Pennsylvania,Philadelphia,0,6,6
421,2020,September,Arkansas,Little Rock,0,4,4
422,2020,September,Pennsylvania,Philadelphia,2,2,4
423,2020,September,Georgia,Albany,1,3,4
424,2020,September,California,Oakland,0,4,4
425,2020,August,Pennsylvania,Philadelphia,0,5,5
426,2020,August,Florida,Tallahassee,0,4,4
427,2020,August,Kentucky,Lexington,0,7,7
428,2020,August,Illinois,Zion,1,3,4
429,2020,August,Texas,San Antonio,2,2,4
430,2020,August,New York,Buffalo,1,4,5
431,2020,August,Pennsylvania,Philadelphia,0,4,4
432,2020,August,Illinois,Chicago,1,4,5
433,2020,August,Kentucky,Madisonville,0,5,5
434,2020,August,Nevada,Las Vegas,2,2,4
435,2020,August,Illinois,Rock Island,1,5,6
436,2020,August,Minnesota,Minneapolis,0,4,4
437,2020,August,Pennsylvania,Chester,1,3,4
438,2020,August,Texas,Dallas,1,4,5
439,2020,August,Oregon,Portland,1,3,4
440,2020,August,Michigan,Pontiac,3,1,4
