State,Population_2019
Alabama,4907965
Alaska,733603
Arizona,7291843
Arkansas,3020985
California,39437610
Colorado,5758486
Connecticut,3566022
Delaware,976668
District of Columbia,708253
Florida,21492056
Georgia,10628020
Hawaii,1415615
Idaho,1789060
Illinois,12667017
Indiana,6731010
Iowa,3159596
Kansas,2912635
Kentucky,4472345
Louisiana,4658285
Maine,1345770
Maryland,6054954
Massachusetts,6894883
Michigan,9984795
Minnesota,5640053
Mississippi,2978227
Missouri,6140475
Montana,1070123
Nebraska,1932571
Nevada,3090771
New Hampshire,1360783
New Jersey,8891258
New Mexico,2099634
New York,19463131
North Carolina,10501384
North Dakota,763724
Ohio,11696507
Oklahoma,3960676
Oregon,4216116
Pennsylvania,12798883
Rhode Island,1058158
South Carolina,5157702
South Dakota,887127
Tennessee,6830325
Texas,28986794
Utah,3203383
Vermont,624046
Virginia,8556642
Washington,7614024
West Virginia,1795263
Wisconsin,5824581
Wyoming,580116
